Rating,Current Ratio,Debt/Equity Ratio,Gross Margin,EBITDA Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year Month Day,Rating Agency_DBRS,Rating Agency_Egan-Jones Ratings Company,Rating Agency_Fitch Ratings,Rating Agency_HR Ratings de Mexico S.A. de C.V.,"Rating Agency_Japan Credit Rating Agency,Ltd.",Rating Agency_Moody's Investors Service,Rating Agency_Standard & Poor's Ratings Services,Sector_BusEq,Sector_Chems,Sector_Durbl,Sector_Enrgy,Sector_Hlth,Sector_Manuf,Sector_Money,Sector_NoDur,Sector_Other,Sector_Shops,Sector_Telcm,Sector_Utils
1,0.06886339703674427,0.883660065260427,0.7919929242769761,0.6334390734337035,0.680617664259334,0.2983818733605779,0.6162285368742761,0.5872935847416233,0.6250777562507777,0.2607113417324749,0.5582329957404149,20101015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0.01950333167167622,0.8841025311954076,0.6784504805950428,0.5912029221220607,0.6657720700752788,0.3562532589888261,0.6159366531758701,0.5870701911747808,0.6199116061991161,0.2687215729823896,0.5646926324487686,20100616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0.025119536073199437,0.8840034591264745,0.707937810362098,0.5916666872647187,0.6659718445681914,0.2664614968042277,0.6155218782695496,0.586777685942151,0.6165923836659238,0.24707199543373984,0.5389203598101538,20101214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0.07350030529262373,0.8837732904820647,0.8520891498476162,0.6070608474697765,0.6636932800874655,0.6613539528307127,0.6160500563189883,0.5545956559708116,0.6220700537207006,0.2577875537819295,0.5647475813064825,20101028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0.012073069650963516,0.8842934188439632,1.0,0.6360294844637132,0.676670580690999,0.3147319611343332,0.6165496663300116,0.5856612702650551,0.6226491212264913,0.2457874670401205,0.5493577065772944,20101116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0.08232576935216021,0.8836285804927575,0.7337817821444556,0.6301663004333007,0.6933177718411309,0.4734521126945706,0.6166265163755745,0.5876284178368668,0.6299309837993099,0.24754184689910083,0.5508484565033651,20100406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0.08232576935216021,0.8836285804927575,0.7337817821444556,0.6301663004333007,0.6933177718411309,0.4734521126945706,0.6166265163755745,0.5876284178368668,0.6299309837993099,0.24754184689910083,0.5508484565033651,20101201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0.04053460130553155,0.8837605766330249,0.7214440229321626,0.631230241318539,0.6916967129921693,0.22045039503984204,0.6156817543475531,0.5869112452192919,0.6187641136876412,0.2564443943507523,0.5630861124102624,20100908,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0.024163837425041072,0.8842132976066178,0.7637933974126723,0.6059864015779756,0.6643785365564459,0.24551371023815605,0.6156278975557903,0.5869035359346989,0.6170604886706049,0.2513073516628057,0.5422667871906243,20101216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0.024163837425041072,0.8842132976066178,0.7637933974126723,0.6059864015779756,0.6643785365564459,0.24551371023815605,0.6156278975557903,0.5869035359346989,0.6170604886706049,0.2513073516628057,0.5422667871906243,20101203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.031154596055088357,0.8834854297490873,0.5073208158393896,0.5649073458421184,0.6582706718903413,0.7912202983934571,0.6158960774886316,0.5876334876431212,0.6232344587323446,0.24308990386919338,0.5428758386516976,20101119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0.03513667375574821,0.8837522406659657,0.9283854777178662,0.5789452788028742,0.661932678676367,0.7054216860918386,0.6162423918536875,0.5877951107240248,0.6241313162413132,0.25925573921557027,0.5549805267120659,20100625,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0.07188682640206007,0.8181287493110831,0.616170264913365,0.5870084892811857,0.6589559283593216,0.6516312835561541,0.5863576822253622,0.5856692849092657,0.6192347761923478,0.24464456339019117,0.5481538651907376,20100903,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0.03933702830814792,0.8839099643592429,0.8090226124762899,0.594404168386604,0.6671662342949576,0.3000768204415207,0.615729708426194,0.5869118057424256,0.6185129836851299,0.250937360366436,0.5691686573393427,20110408,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0475401083715072,0.8838570099785723,0.7712293003132926,0.599214688965294,0.6835244067824938,0.4569454935740892,0.6166690104445776,0.5930984501577182,0.628758493787585,0.2570352559940866,0.5647723292653002,20111019,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0.0475401083715072,0.8838570099785723,0.7712293003132926,0.599214688965294,0.6835244067824938,0.4569454935740892,0.6166690104445776,0.5930984501577182,0.628758493787585,0.2570352559940866,0.5647723292653002,20111123,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0.034717818175382505,0.8838659456554918,0.6111011061145329,0.5949634055006686,0.6729084501456998,0.48439203589069435,0.616242271613235,0.5874935743761284,0.623525601235256,0.24615317479036727,0.554597562535785,20110216,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,0.029252047820328655,0.8842637332058749,1.0,0.585669873371415,0.6644037645902785,0.5416734729343039,0.6165556947490611,0.5875439754450711,0.6235624787356249,0.24915754695235065,0.5631347694140396,20110729,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0.03292440836649273,0.8839670567379501,0.7636378167558235,0.5895883953046328,0.6591825076381814,0.3248935380991279,0.6155683676008603,0.5867726412339473,0.6169594261695943,0.2524815787437591,0.5387265707089032,20110727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0.026048687536686738,0.8821374019249486,0.5609391317320602,0.580125392701863,0.6620460471534027,0.6488516292848087,0.6139777777061193,0.5858264740012011,0.6324317238243172,0.2523367413404769,0.5649329812691508,20110607,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,0.026048687536686738,0.8821374019249486,0.5609391317320602,0.580125392701863,0.6620460471534027,0.6488516292848087,0.6139777777061193,0.5858264740012011,0.6324317238243172,0.2523367413404769,0.5649329812691508,20110712,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,0.026048687536686738,0.8821374019249486,0.5609391317320602,0.580125392701863,0.6620460471534027,0.6488516292848087,0.6139777777061193,0.5858264740012011,0.6324317238243172,0.2523367413404769,0.5649329812691508,20111031,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0.028384839787740507,0.8840050183721114,0.8926733232454551,0.6015509715277245,0.6671004837317812,0.2901381978985612,0.6157647530526181,0.5869396478467399,0.6187866361878664,0.2430090519361227,0.5459072538784037,20110725,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0268451030768187,0.883704143935164,0.4831173674900364,0.5597560304917084,0.6553667675209877,0.9663605709022087,0.6164798066271181,0.6107738109704333,0.6270905087709051,0.24791264136036859,0.552863108133899,20110126,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0.025694725074405858,0.8837169177551899,0.48383826005413355,0.5599545442186623,0.6554916462884595,0.9639256874798945,0.616644393944669,0.6343165899077643,0.6299863412998634,0.24543701942293675,0.5497658381693222,20111031,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0.09868178479672231,0.8837660939637403,0.9214216448924788,0.6247535958019522,0.7025422447368408,0.29894757897117014,0.6163708305188413,0.5884587742973707,0.6259634762596348,0.24395169980480416,0.5468673907891454,20110311,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0.09868178479672231,0.8837660939637403,0.9214216448924788,0.6247535958019522,0.7025422447368408,0.29894757897117014,0.6163708305188413,0.5884587742973707,0.6259634762596348,0.24395169980480416,0.5468673907891454,20110912,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0.09868178479672231,0.8837660939637403,0.9214216448924788,0.6247535958019522,0.7025422447368408,0.29894757897117014,0.6163708305188413,0.5884587742973707,0.6259634762596348,0.24395169980480416,0.5468673907891454,20111107,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0.09868178479672231,0.8837660939637403,0.9214216448924788,0.6247535958019522,0.7025422447368408,0.29894757897117014,0.6163708305188413,0.5884587742973707,0.6259634762596348,0.24395169980480416,0.5468673907891454,20111130,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,0.04026323008444954,0.8856384481188,0.5846502632083715,0.5953806705407483,0.6653622722007091,0.5917680643543276,0.6175065015925575,0.5883157446890747,0.6224315687243157,0.24717105243783305,0.5488300297604691,20110510,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,0.04026323008444954,0.8856384481188,0.5846502632083715,0.5953806705407483,0.6653622722007091,0.5917680643543276,0.6175065015925575,0.5883157446890747,0.6224315687243157,0.24717105243783305,0.5488300297604691,20110517,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0.08455573286452972,0.8836361968079842,0.6408244709192046,0.5923220142917525,0.6760985350238428,0.5880212902662104,0.6164867805733623,0.5891905916275664,0.6281903987819041,0.2438828953452043,0.5468241867254466,20111206,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0.24128441178812987,0.8835714281430643,0.8207934613499286,0.6188378867387269,0.6997665303143996,0.44713963682573876,0.6165543721040838,0.5876206625391807,0.6302173413021734,0.24365667056558607,0.5466043912945909,20111129,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0.04296514354652689,0.8837675332674051,0.5359375333006543,0.5645197419970388,0.6581104738755037,0.8067540380387067,0.6161209489966781,0.5878449512698338,0.6228942287289423,0.23057016943834413,0.5270929327799299,20111014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0.0345703338160988,0.8837500217394824,0.906200848234266,0.6215977682422529,0.6903367642933761,0.4634741112020681,0.6172949549128364,0.562207275682302,0.6357750363577505,0.2553478065432774,0.5638742719800675,20110412,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0.01697839944073931,0.8840634301125114,0.6174095820634684,0.5799735335628781,0.6610389755778441,0.5089097093286811,0.6157910037295855,0.5871463344777905,0.6189275461892755,0.23869391466051693,0.5376712170752527,20110429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0.019984130682941074,0.881070338170393,0.7357974041473967,0.5892605773057253,0.6698872354190242,0.7073738862819468,0.6098525464003807,0.5836285916826984,0.6434159389341594,0.26529634241382644,0.5743938323053144,20110613,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0.02631710907058306,0.8834348142368721,0.6906848745764157,0.5916308466540936,0.6741873537858054,0.24858996414866022,0.6164467896919609,0.5889388665444196,0.6319924113199241,0.2447347855804058,0.5478480810894135,20111109,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0.02221409419531059,0.8841463100152145,0.5962671298565674,0.5898661600369777,0.6313741189700466,0.636665437590523,0.6119670294120717,0.5632576416558037,0.5869110283691104,0.25921477780576957,0.5670634030121202,20111206,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0.04903854946182957,0.8836556274074602,0.529594424671256,0.5632976080717998,0.6580516610216313,0.8716244823328878,0.6162162231588467,0.5874767503160995,0.6253569362535694,0.2498664738356987,0.5542284404381648,20111108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
